Country,Currency,Year,Average Salary,Salary Growth,Gender Gap,CPI,GDP,GDP Growth,Ratio Minimum and Average Salaries,Ratio Minimum and Median Salaries,Population,GDP per capita
AUS,USD,1995,43715.0,,14.478114478,4.627767,404102.992,,54.1904761904762,61.4028776978417,18004882.0,22444.078889270146
AUS,USD,1996,44976.27559367,2.885223821731664,,2.615385,424472.904,5.040772378146596,52.5018782870022,60.4498269896194,18224767.0,23290.99208785495
AUS,USD,1997,46355.5550944577,3.0666823399263965,15.254237288,0.2248875,450962.701,6.240633206589785,51.2696148359486,59.9,18423037.0,24478.19547884532
AUS,USD,1998,46999.635104298,1.3894343591137615,13.242009132,0.8601346,478691.653,6.148834912180456,52.1508379888268,60.7154471544715,18607584.0,25725.620961861572
AUS,USD,1999,48064.8702398545,2.2664753315480235,14.285714286,1.483129,510947.993,6.738437948070941,50.9083992254103,59.1104294478528,18812264.0,27160.366928722666
AUS,USD,2000,48213.0886758407,0.3083716553203164,17.2,4.457435,539145.387,5.518642677200991,49.96250316633,57.6945244956772,19028802.0,28333.122968014486
AUS,USD,2001,48693.3022958347,0.996023347980679,14.342105263,4.407135,569808.633,5.687379830999095,49.5089820359281,58.1434599156118,19274701.0,29562.514770008624
AUS,USD,2002,49140.6312919188,0.9186663770848202,15.0,2.981575,600908.415,5.457934506232731,50.0437912173958,57.52,19495210.0,30823.387642400365
AUS,USD,2003,49849.375153206,1.442276671369802,13.043478261,2.732596,639129.682,6.360581087885087,49.8181260651902,58.3094928478544,19720737.0,32409.016052493378
AUS,USD,2004,51414.3183931236,3.1393437432423843,14.352941176,2.343255,678093.349,6.096363241662117,50.258064516129,58.425,19932722.0,34019.10431500524
AUS,USD,2005,52013.9397458168,1.1662536262921686,15.777777778,2.691832,719977.551,6.1767604802152265,49.4790602655771,57.4614472123369,20176844.0,35683.35816047346
AUS,USD,2006,52368.0,0.6807026268600858,16.666666667,3.555288,776413.103,7.838515509492594,46.3540669856459,53.8222222222222,20450966.0,37964.61756378647
AUS,USD,2007,53805.0,2.744042163153071,15.4,2.327611,826927.984,6.5061860502887425,45.4733570159858,54.4712765957447,20827622.0,39703.42768848023
AUS,USD,2008,54149.0,0.6393457857076568,11.937377691,4.350298,852859.354,3.1358679959729185,45.0103448275862,52.212,21249199.0,40136.07072906607
